With Stimulation:
11.04.2025 22:13:20
288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	0	0	0	0	0	0	0	
462	462	462	462	462	462	462	462	462	462	462	462	462	462	462	462	462	462	462	462	462	462	0	0	0	0	0	0	0	
434	434	434	434	434	434	434	434	434	434	434	434	434	434	434	434	434	434	434	434	434	434	0	0	0	0	0	0	0	
222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	0	0	0	0	0	0	0	
606	606	606	606	606	606	606	606	606	606	606	606	606	606	606	606	606	606	606	606	606	606	0	0	0	0	0	0	0	
477	477	477	477	477	477	477	477	477	477	477	477	477	477	477	477	477	477	477	477	477	477	0	0	0	0	0	0	0	
324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	324	0	0	0	0	0	0	0	
461	461	461	461	461	461	461	461	461	461	461	461	461	461	461	461	461	461	461	461	461	461	0	0	0	0	0	0	0	
711	711	711	711	711	711	711	711	711	711	711	711	711	711	711	711	711	711	711	711	711	711	0	0	0	0	0	0	0	
893	893	893	893	893	893	893	893	893	893	893	893	893	893	893	893	893	893	893	893	893	893	0	0	0	0	0	0	0	
585	585	585	585	585	585	585	585	585	585	585	585	585	585	585	585	585	585	585	585	585	585	0	0	0	0	0	0	0	
365	365	365	365	365	365	365	365	365	365	365	365	365	365	365	365	365	365	365	365	365	365	0	0	0	0	0	0	0	
347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	347	0	0	0	0	0	0	0	
-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	0	0	0	0	0	0	0	
779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	0	0	0	0	0	0	0	
782	782	782	782	782	782	782	782	782	782	782	782	782	782	782	782	782	782	782	782	782	782	0	0	0	0	0	0	0	
368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	0	0	0	0	0	0	0	
284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	0	0	0	0	0	0	0	
320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	320	0	0	0	0	0	0	0	
828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	0	0	0	0	0	0	0	
432	432	432	432	432	432	432	432	432	432	432	432	432	432	432	432	432	432	432	432	432	432	0	0	0	0	0	0	0	
666	666	666	666	666	666	666	666	666	666	666	666	666	666	666	666	666	666	666	666	666	666	0	0	0	0	0	0	0	
158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	0	0	0	0	0	0	0	
367	367	367	367	367	367	367	367	367	367	367	367	367	367	367	367	367	367	367	367	367	367	0	0	0	0	0	0	0	
38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	0	0	0	0	0	0	0	
758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	0	0	0	0	0	0	0	
281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	0	0	0	0	0	0	0	
861	861	861	861	861	861	861	861	861	861	861	861	861	861	861	861	861	861	861	861	861	861	0	0	0	0	0	0	0	
167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	0	0	0	0	0	0	0	
593	593	593	593	593	593	593	593	593	593	593	593	593	593	593	593	593	593	593	593	593	593	0	0	0	0	0	0	0	
40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	0	0	0	0	0	0	0	
